slug;genre;poster;
parasite_2019;Comedy,Mystery&thriller,Drama;https://resizing.flixster.com/DgA7bEJqWSBJmHBhmIb375_VLxE=/206x305/v2/https://resizing.flixster.com/0nQ2niq2j-E4gdW_kB5H606atmc=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzZlZWEwMmY4LTk1OWUtNGEyOS04ODRmLTA0OWRjMzhlYWZkNi53ZWJw;
lore;Drama,War;https://resizing.flixster.com/5YKyCOSjH5MDBna5tDzO31RR9Ao=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9463227_p_v8_aa.jpg;
the_florida_project;Drama;https://resizing.flixster.com/_rb2FVCePxBQwOgaqiy8v9F4ucg=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p14263302_p_v8_as.jpg;
pain_and_glory;Drama;https://resizing.flixster.com/PIL_8aCxYNT7anH_buYtrN4Me4Y=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p16949721_p_v8_ah.jpg;
amy_2015;Documentary,Biography,Music;https://resizing.flixster.com/30R3MMkyg9dWpXvqMbPnKctU59Q=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11780062_p_v8_ak.jpg;
listen_to_me_marlon;Documentary;https://resizing.flixster.com/Dqh04UuE4Q_TL6YgovH5Cs4ZxYI=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11636462_p_v8_au.jpg;
two_days_one_night;Drama;https://resizing.flixster.com/15ClGfn7hGKDslOcPtLpaB4dg5A=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10901383_v_v8_aj.jpg;
finding_vivian_maier;Documentary,Biography,Mystery&thriller;https://resizing.flixster.com/lhz2MGrOi-2mkWe9IF0ar25AovA=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/131755/131755_aa.jpg;
the_salt_of_the_earth;Documentary;https://resizing.flixster.com/oLGWUQXbtNhsvlj34S0jbogJyHk=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11118634_p_v8_ab.jpg;
the_sapphires_2012;Musical,Comedy,Biography,Drama;https://resizing.flixster.com/DS7oama3bPgooAtbQovyu2PwwLc=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9294543_p_v8_ac.jpg;
lucky_2017;Comedy,Drama;https://resizing.flixster.com/4GpiGkf_3qNqKfnRA6XfBQIQHqM=/206x305/v2/https://resizing.flixster.com/nm5h8pYn3E88d46Alz9SPDRxzxU=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2ZkMjFmMDZmLWM5MGYtNDdlNC1hNzIzLTg0ZjNkOGMxNmU4YS53ZWJw;
yesterday_2019;Romance,Comedy,Music;https://resizing.flixster.com/axgZhymBh3YsFk_LUkXOOkfhE7M=/206x305/v2/https://resizing.flixster.com/Xz5YUUdQcujMHxZ_Cfk4l_rNNl8=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2I3MGM4NmU3LWIzMzAtNDFkMi1iNjdmLWRhMDkzYjZmZDQ4MC53ZWJw;
enough_said_2013;Romance,Comedy;https://resizing.flixster.com/ix-WvoDw8c0vRFgOOxweFotQ7cQ=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10116059_p_v8_ak.jpg;
beyond_the_lights;Drama,Romance;https://resizing.flixster.com/laLjV4doiJIDt-nLlPOezBc-1Gg=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10569813_p_v8_ab.jpg;
sully;Drama,Biography;https://resizing.flixster.com/IzzF0Wbv8Xh7nqjvrhRgzUdGfW8=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p12465613_p_v8_aa.jpg;
before_midnight_2013;Romance,Drama;https://resizing.flixster.com/a22otzWd7tpi0-r9_UrUFq3CyEo=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9720544_p_v8_aj.jpg;
blue_jasmine;Drama;https://resizing.flixster.com/AWj54FXr8ZveAQg1rRyMINviHUM=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9759023_p_v12_as.jpg;
nebraska;Drama,Comedy;https://resizing.flixster.com/CqCuWukq-7ahqF3aXGNxpMxoFxI=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9991634_p_v8_ac.jpg;
the_personal_history_of_david_copperfield;Comedy,Drama;https://resizing.flixster.com/IaukeyHgyaOq2lseUEZ_PqySgA4=/206x305/v2/https://resizing.flixster.com/IyGB7QwHD0w_6VzAZ8e4qU5MY5w=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2Q2NjI1YTczLTA4MzUtNDlkNy05YzYxLWNmMTY3MjBiYmMwYy53ZWJw;
mediterranea_2015;Drama;https://resizing.flixster.com/vFdatSkDDt0QrQy-K_0-HOoCpFE=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p12239953_p_v8_aa.jpg;
bajirao_mastani;Romance,History,Drama,Action;https://resizing.flixster.com/Q4Afq8eKP0-gDSZzpj8FL-1LJUs=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p12393673_p_v8_ao.jpg;
the_prom_2020;Musical,Comedy,Lgbtq+;https://resizing.flixster.com/kC1GzclD9Ura9Wzdtc-xaQaGgtw=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p18821942_p_v8_aa.jpg;
kahaani_2;Mystery&thriller;https://resizing.flixster.com/7DMTCr3U15N8HR_p9nUjI7j1ly8=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p13554503_p_v8_aa.jpg;
raazi;Action,Crime,Drama;https://resizing.flixster.com/NU2uwvfCMF12C3782iwM9PeXavE=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p15470542_p_v8_ag.jpg;
an_inconvenient_sequel_truth_to_power;Documentary;https://resizing.flixster.com/z7nbxDtYiFbV2PZx1nMLh1ons8c=/206x305/v2/https://resizing.flixster.com/KwhH8YOftn73WHFa6nDa5Idq0lY=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzkyOTMwNzllLTAwNWYtNGE5Zi05OWRlLTdhZDY0NTEzYTJkNC53ZWJw;
the_inventor_out_for_blood_in_silicon_valley;Documentary;https://resizing.flixster.com/NQf3A6bWUBrD0AoKSg_CWBhg0cc=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p16577125_p_v8_aa.jpg;
juggernaut_2018;Crime,Drama;https://resizing.flixster.com/7zwPTHu3f7InDTZgonvjU3FN9Vo=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p15125778_p_v8_aa.jpg;
the_beguiled;History,Drama;https://resizing.flixster.com/1ikMRK_qP3oiOO8lVHml22SQ_bQ=/206x305/v2/https://resizing.flixster.com/VLH27vUrASKi9nJglr6VObb2xgE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzYyYTQxOWNjLTg1NWEtNGY4MC1hNTY2LTExZDQwMjlkN2UyNy53ZWJw;
the_square_2017;Comedy;https://resizing.flixster.com/DS3EjMk34WyPJ-uVImdPYfBSTHA=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p14135906_p_v8_ab.jpg;
the_assassin_2015;Action,Drama;https://resizing.flixster.com/SxmTh42JMwCXZ1kTNsoG1U_IL8A=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p12052768_p_v8_ap.jpg;
styx_2019;Mystery&thriller,Drama;https://resizing.flixster.com/fuUuMaKaOCokiu2Q95C8IZSgQkE=/206x305/v2/https://resizing.flixster.com/wmaD5nzWF0tkOxGVwzexEc6SLog=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzFmM2IwMTI3LTc5NmItNDU4YS1hNzg5LTA0ZWU0ZmQwMTQ1Yy53ZWJw;
western_2018;Drama;https://resizing.flixster.com/PYrAPLECMMxM6nlDnymw-TKYwM0=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p14610564_p_v8_aa.jpg;
bad_times_at_the_el_royale;Mystery&thriller,Crime,Drama;https://resizing.flixster.com/qbq7nR-xI9L_PWEQbtWxw7-IxEY=/206x305/v2/https://resizing.flixster.com/WYg7MLgYgZCNBTcFIawoSq8B3SU=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2FmYzIwODAyLWJjODEtNDZmNS1hNTdiLTdiY2Q0NGZhYTUzMy53ZWJw;
booksmart;Comedy,Lgbtq+;https://resizing.flixster.com/VwuhyohySuivzzepr2XAOAwNHP8=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p16367922_p_v8_aa.jpg;
the_death_of_stalin;Comedy,History,Drama;https://resizing.flixster.com/gXPJ-D-u2zsEwywzwf0Nae1zAFw=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p14589654_p_v12_ak.jpg;
